question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required,question-sampled_features-sampled_diagnostic_criteria-psychosocial_stressor_required,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",True,psychosocial_stressor,1 month,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Persistent Depressive Disorder', 'Adjustment Disorder', 'Schizophrenia', 'Schizoaffective Disorder (Depressive Type)']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']"
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",True,psychosocial_stressor,2 months,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Generalized Anxiety Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Adjustment Disorder']","['Less likely option', 'Less likely option', 'Less likely option', 'answer']"
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",True,psychosocial_stressor,4 months,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Major Depressive Disorder', 'Adjustment Disorder', 'Specific Phobia', 'Body Dysmorphic Disorder']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']"
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",True,psychosocial_stressor,1 month,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Adjustment Disorder', 'Generalized Anxiety Disorder', 'Acute Stress Disorder', 'Bipolar I Disorder']","['answer', 'Less likely option', 'Less likely option', 'Less likely option']"
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",True,psychosocial_stressor,5 months,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Major Depressive Disorder', 'Persistent Depressive Disorder', 'Adjustment Disorder', 'Major Depressive Disorder with Psychotic Features']","['Less likely option', 'Less likely option', 'answer', 'Less likely option']"
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",True,psychosocial_stressor,2 months,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Binge-Eating Disorder', 'Body Dysmorphic Disorder', 'Major Depressive Disorder', 'Adjustment Disorder']","['Less likely option', 'Less likely option', 'Less likely option', 'answer']"
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",True,psychosocial_stressor,5 months,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Adjustment Disorder', 'Major Depressive Disorder', 'Posttraumatic Stress Disorder', 'Bipolar I Disorder with Psychotic Features']","['answer', 'Less likely option', 'Less likely option', 'Less likely option']"
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",True,psychosocial_stressor,3 months,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Posttraumatic Stress Disorder', 'Adjustment Disorder', 'Major Depressive Disorder with Psychotic Features', 'Major Depressive Disorder']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']"
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",True,psychosocial_stressor,1 month,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Major Depressive Disorder', 'Adjustment Disorder', 'Bipolar II Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']"
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",True,psychosocial_stressor,3 months,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Major Depressive Disorder with Psychotic Features', 'Adjustment Disorder', 'Acute Stress Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']"
