model,dimension,stratum,n,mapper,conditional_mean_composite,conditional_mean_ig,ig_positive_rate,discriminating_q_rate,mean_composite,mean_dcs,redundancy_rate,early_ig_mean,active_turn_count
gemini-3.1-flash-lite,question,correct,262,cosine,0.210122,-0.389767,0.363818,0.283819,0.191102,0.307005,0.017366,-0.475361,3.293893
gemini-3.1-flash-lite,question,incorrect,83,cosine,0.135387,-0.061511,0.511733,0.164464,0.129785,0.167288,0.016839,-0.059867,7.60241
gemini-3.1-flash-lite,question,all,345,cosine,0.19048,-0.303494,0.402693,0.25245,0.17635,0.271391,0.01724,-0.366161,4.330435
gemini-3.5-flash,question,correct,256,cosine,0.289664,-0.274661,0.431248,0.398219,0.275893,0.432477,0.03709,-0.337963,3.789062
gemini-3.5-flash,question,incorrect,89,cosine,0.158134,-0.014188,0.498111,0.201838,0.169312,0.229445,0.044476,-0.052286,7.404494
gemini-3.5-flash,question,all,345,cosine,0.253566,-0.203175,0.449599,0.344323,0.248398,0.380669,0.038996,-0.259559,4.721739
gpt-5.4,question,correct,295,cosine,0.209423,-0.199757,0.440651,0.27807,0.208405,0.397241,0.048548,-0.212833,3.267797
gpt-5.4,question,incorrect,50,cosine,0.127293,0.021115,0.546467,0.188615,0.125547,0.227992,0.049631,0.036581,5.08
gpt-5.4,question,all,345,cosine,0.196261,-0.164361,0.457609,0.263734,0.196397,0.373234,0.048705,-0.172863,3.530435
gpt-5.4-mini-2026-03-17,question,correct,267,cosine,0.096013,-0.250453,0.37907,0.139652,0.114173,0.304121,0.069822,-0.260331,9.910112
gpt-5.4-mini-2026-03-17,question,incorrect,78,cosine,0.083681,-0.006782,0.453715,0.103703,0.078029,0.202919,0.107597,-0.025039,16.564103
gpt-5.4-mini-2026-03-17,question,all,345,cosine,0.093017,-0.191265,0.397202,0.13092,0.106002,0.27965,0.078362,-0.203178,11.414493
llama-3.3-70b-instruct,question,correct,269,cosine,0.109772,-0.226141,0.433302,0.166794,0.106549,0.267912,0.048267,-0.301562,11.635688
llama-3.3-70b-instruct,question,incorrect,76,cosine,0.055596,-0.104868,0.426962,0.079686,0.059273,0.1375,0.046884,-0.139317,15.736842
llama-3.3-70b-instruct,question,all,345,cosine,0.097333,-0.198296,0.431846,0.146793,0.096135,0.236747,0.047962,-0.264309,12.53913
qwen3-235b-a22b-2507,question,correct,324,cosine,0.160106,-0.317049,0.414778,0.226067,0.172688,0.26558,0.030053,-0.366019,2.37037
qwen3-235b-a22b-2507,question,incorrect,21,cosine,0.047743,-0.211163,0.448148,0.094444,0.047743,0.130495,0.019048,-0.220889,4.666667
qwen3-235b-a22b-2507,question,all,345,cosine,0.152494,-0.309877,0.417038,0.217151,0.165083,0.258043,0.029383,-0.356188,2.510145
