model,dimension,stratum,n,mapper,conditional_mean_composite,conditional_mean_ig,ig_positive_rate,discriminating_q_rate,mean_composite,mean_dcs,redundancy_rate,early_ig_mean,active_turn_count
gemini-3.1-flash-lite,question,correct,262,llm_judge,0.295697,0.042034,0.498374,0.3354,0.285577,0.571565,0.290843,0.019729,3.293893
gemini-3.1-flash-lite,question,incorrect,83,llm_judge,0.219419,0.067713,0.445717,0.272188,0.211607,0.358682,0.298485,0.096334,7.60241
gemini-3.1-flash-lite,question,all,345,llm_judge,0.27565,0.048783,0.484535,0.318786,0.267781,0.517301,0.292682,0.039862,4.330435
gemini-3.5-flash,question,correct,256,llm_judge,0.422693,-0.012562,0.496058,0.466918,0.406084,0.737977,0.240966,-0.043887,3.789062
gemini-3.5-flash,question,incorrect,89,llm_judge,0.269607,0.059309,0.461287,0.299609,0.288722,0.490481,0.229932,0.058092,7.404494
gemini-3.5-flash,question,all,345,llm_judge,0.380679,0.007163,0.486515,0.421,0.375808,0.674823,0.23812,-0.015899,4.721739
gpt-5.4,question,correct,295,llm_judge,0.311981,0.035874,0.52783,0.343812,0.314015,0.69453,0.264416,0.033867,3.267797
gpt-5.4,question,incorrect,50,llm_judge,0.231369,0.086536,0.526166,0.266759,0.231635,0.491481,0.205765,0.0859,5.08
gpt-5.4,question,all,345,llm_judge,0.299062,0.043993,0.527564,0.331464,0.302076,0.665729,0.255916,0.042206,3.530435
gpt-5.4-mini-2026-03-17,question,correct,267,llm_judge,0.15118,0.064147,0.390702,0.181513,0.170947,0.569546,0.426503,0.066598,9.910112
gpt-5.4-mini-2026-03-17,question,incorrect,78,llm_judge,0.129442,0.053775,0.312036,0.172572,0.11927,0.381115,0.433963,0.061507,16.564103
gpt-5.4-mini-2026-03-17,question,all,345,llm_judge,0.1459,0.061628,0.371594,0.179341,0.159263,0.523983,0.42819,0.065362,11.414493
llama-3.3-70b-instruct,question,correct,269,llm_judge,0.139768,0.016117,0.250055,0.197741,0.13645,0.455795,0.505553,0.017698,11.635688
llama-3.3-70b-instruct,question,incorrect,76,llm_judge,0.08021,0.026951,0.251219,0.117716,0.084773,0.264045,0.461291,0.02549,15.736842
llama-3.3-70b-instruct,question,all,345,llm_judge,0.126093,0.018605,0.250322,0.179367,0.125066,0.409972,0.495803,0.019487,12.53913
qwen3-235b-a22b-2507,question,correct,324,llm_judge,0.237983,-0.048408,0.406115,0.28552,0.256404,0.481797,0.306131,-0.057914,2.37037
qwen3-235b-a22b-2507,question,incorrect,21,llm_judge,0.066868,-0.019473,0.448167,0.085374,0.066868,0.220085,0.166368,-0.01,4.666667
qwen3-235b-a22b-2507,question,all,345,llm_judge,0.226392,-0.046448,0.408963,0.271961,0.244867,0.467195,0.297624,-0.054669,2.510145
