question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '1 year and 1 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Psychomotor_Changes', 'Death_Suicide'], 'duration': '4 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Sleep_Disturbance'], 'duration': '7 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Bipolar I Disorder with Psychotic Features', 'Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Worthlessness_Guilt', 'Death_Suicide'], 'duration': '4 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Major Depressive Disorder with Psychotic Features', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Sleep_Disturbance', 'Psychomotor_Changes', 'Worthlessness_Guilt'], 'duration': '8 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Weight_Appetite_Change', 'Psychomotor_Changes', 'Death_Suicide'], 'duration': '4 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Sleep_Disturbance', 'Psychomotor_Changes', 'Diminished_Thinking'], 'duration': '10 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Bipolar Type)', 'Major Depressive Disorder with Psychotic Features', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest'], 'duration': '9 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Major Depressive Disorder with Psychotic Features']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '8 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Major Depressive Disorder with Psychotic Features']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Psychomotor_Changes'], 'duration': '11 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features', 'Major Depressive Disorder with Psychotic Features']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Fatigue', 'Worthlessness_Guilt', 'Diminished_Thinking'], 'duration': '5 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Major Depressive Disorder with Psychotic Features']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Weight_Appetite_Change', 'Worthlessness_Guilt'], 'duration': '3 weeks'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder with Psychotic Features']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Sleep_Disturbance', 'Worthlessness_Guilt', 'Death_Suicide'], 'duration': '1 year'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder with Psychotic Features']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Psychomotor_Changes', 'Fatigue', 'Worthlessness_Guilt'], 'duration': '9 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder with Psychotic Features', 'Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Psychomotor_Changes'], 'duration': '10 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Major Depressive Disorder with Psychotic Features', 'Bipolar I Disorder with Psychotic Features']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Psychomotor_Changes', 'Worthlessness_Guilt', 'Death_Suicide'], 'duration': '5 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Sleep_Disturbance', 'Psychomotor_Changes', 'Worthlessness_Guilt'], 'duration': '1 year and 1 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features', 'Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Sleep_Disturbance'], 'duration': '5 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder with Psychotic Features', 'Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Psychomotor_Changes', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '3 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Fatigue', 'Worthlessness_Guilt', 'Diminished_Thinking'], 'duration': '1 month'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']"
