question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required
D004,Delusional Disorder,D004,Delusional Disorder,1 year and 9 months,{'delusions': {'symptoms': ['Delusions']}},"['Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Delusional Disorder', 'Schizophrenia']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']",,
D004,Delusional Disorder,D004,Delusional Disorder,1 year and 4 months,{'delusions': {'symptoms': ['Delusions']}},"['Delusional Disorder', 'Schizophrenia', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']",['Functioning is not markedly impaired apart from the impact of the delusion(s) or its ramifications'],
D004,Delusional Disorder,D004,Delusional Disorder,2 years and 1 months,{'delusions': {'symptoms': ['Delusions']}},"['Schizophrenia', 'Schizoaffective Disorder (Depressive Type)', 'Delusional Disorder', 'Schizoaffective Disorder (Bipolar Type)']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']",['Functioning is not markedly impaired apart from the impact of the delusion(s) or its ramifications'],False
D004,Delusional Disorder,D004,Delusional Disorder,1 year and 1 months,{'delusions': {'symptoms': ['Delusions']}},"['Schizophrenia', 'Delusional Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)']","['Moderately likely option', 'answer', 'Moderately likely option', 'Moderately likely option']",,
D004,Delusional Disorder,D004,Delusional Disorder,5 months,{'delusions': {'symptoms': ['Delusions']}},"['Schizophrenia', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Delusional Disorder']","['Moderately likely option', 'Moderately likely option', 'Moderately likely option', 'answer']",,False
D004,Delusional Disorder,D004,Delusional Disorder,1 year and 11 months,{'delusions': {'symptoms': ['Delusions']}},"['Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Delusional Disorder', 'Schizophrenia']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']",,
D004,Delusional Disorder,D004,Delusional Disorder,11 months,{'delusions': {'symptoms': ['Delusions']}},"['Delusional Disorder', 'Schizophrenia', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']",,
D004,Delusional Disorder,D004,Delusional Disorder,3 months,{'delusions': {'symptoms': ['Delusions']}},"['Schizophrenia', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Delusional Disorder']","['Moderately likely option', 'Moderately likely option', 'Moderately likely option', 'answer']",,
D004,Delusional Disorder,D004,Delusional Disorder,2 years and 2 months,{'delusions': {'symptoms': ['Delusions']}},"['Delusional Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Schizophrenia']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']",,
D004,Delusional Disorder,D004,Delusional Disorder,1 year and 3 months,{'delusions': {'symptoms': ['Delusions']}},"['Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Delusional Disorder', 'Schizophrenia']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']",,
