question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,"{'obsessive_compulsive_symptoms': {'symptoms': ['Obsessions', 'Compulsions']}}","['Obsessive-Compulsive Disorder', 'Binge-Eating Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Specific Phobia']","['answer', 'Less likely option', 'Less likely option', 'Less likely option']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,"{'obsessive_compulsive_symptoms': {'symptoms': ['Obsessions', 'Compulsions']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Schizophrenia', 'Bipolar I Disorder', 'Obsessive-Compulsive Disorder']","['Less likely option', 'Less likely option', 'Less likely option', 'answer']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,{'obsessive_compulsive_symptoms': {'symptoms': ['Compulsions']}},"['Schizophrenia', 'Obsessive-Compulsive Disorder', 'Delusional Disorder', 'Generalized Anxiety Disorder']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,"{'obsessive_compulsive_symptoms': {'symptoms': ['Obsessions', 'Compulsions']}}","['Body Dysmorphic Disorder', 'Persistent Depressive Disorder', 'Obsessive-Compulsive Disorder', 'Acute Stress Disorder']","['Less likely option', 'Less likely option', 'answer', 'Less likely option']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,{'obsessive_compulsive_symptoms': {'symptoms': ['Compulsions']}},"['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Obsessive-Compulsive Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Schizoaffective Disorder (Bipolar Type)']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,{'obsessive_compulsive_symptoms': {'symptoms': ['Compulsions']}},"['Major Depressive Disorder with Psychotic Features', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Obsessive-Compulsive Disorder', 'Persistent Depressive Disorder']","['Less likely option', 'Less likely option', 'answer', 'Less likely option']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,{'obsessive_compulsive_symptoms': {'symptoms': ['Obsessions']}},"['Obsessive-Compulsive Disorder', 'Bipolar II Disorder', 'Bulimia Nervosa', 'Specific Phobia']","['answer', 'Less likely option', 'Less likely option', 'Less likely option']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,"{'obsessive_compulsive_symptoms': {'symptoms': ['Obsessions', 'Compulsions']}}","['Obsessive-Compulsive Disorder', 'Adjustment Disorder', 'Major Depressive Disorder', 'Major Depressive Disorder with Psychotic Features']","['answer', 'Less likely option', 'Less likely option', 'Less likely option']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,{'obsessive_compulsive_symptoms': {'symptoms': ['Obsessions']}},"['Obsessive-Compulsive Disorder', 'Anorexia Nervosa', 'Adjustment Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['answer', 'Less likely option', 'Less likely option', 'Less likely option']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,{'obsessive_compulsive_symptoms': {'symptoms': ['Compulsions']}},"['Obsessive-Compulsive Disorder', 'Posttraumatic Stress Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Major Depressive Disorder']","['answer', 'Less likely option', 'Less likely option', 'Less likely option']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,"{'obsessive_compulsive_symptoms': {'symptoms': ['Obsessions', 'Compulsions']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Bipolar I Disorder with Psychotic Features', 'Obsessive-Compulsive Disorder', 'Bulimia Nervosa']","['Less likely option', 'Less likely option', 'answer', 'Less likely option']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,{'obsessive_compulsive_symptoms': {'symptoms': ['Compulsions']}},"['Obsessive-Compulsive Disorder', 'Binge-Eating Disorder', 'Body Dysmorphic Disorder', 'Bipolar II Disorder']","['answer', 'Less likely option', 'Less likely option', 'Less likely option']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,"{'obsessive_compulsive_symptoms': {'symptoms': ['Obsessions', 'Compulsions']}}","['Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder', 'Body Dysmorphic Disorder', 'Obsessive-Compulsive Disorder']","['Less likely option', 'Less likely option', 'Less likely option', 'answer']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,"{'obsessive_compulsive_symptoms': {'symptoms': ['Obsessions', 'Compulsions']}}","['Obsessive-Compulsive Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Schizophrenia', 'Major Depressive Disorder with Psychotic Features']","['answer', 'Less likely option', 'Less likely option', 'Less likely option']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,{'obsessive_compulsive_symptoms': {'symptoms': ['Compulsions']}},"['Delusional Disorder', 'Acute Stress Disorder', 'Obsessive-Compulsive Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['Less likely option', 'Less likely option', 'answer', 'Less likely option']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,"{'obsessive_compulsive_symptoms': {'symptoms': ['Obsessions', 'Compulsions']}}","['Major Depressive Disorder with Psychotic Features', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Bipolar I Disorder', 'Obsessive-Compulsive Disorder']","['Less likely option', 'Less likely option', 'Less likely option', 'answer']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,{'obsessive_compulsive_symptoms': {'symptoms': ['Compulsions']}},"['Schizophrenia', 'Delusional Disorder', 'Anorexia Nervosa', 'Obsessive-Compulsive Disorder']","['Less likely option', 'Less likely option', 'Less likely option', 'answer']"
