model,dimension,stratum,n,accuracy,precision,recall,jaccard,weighted_recall
gemini-3.1-flash-lite,inference,correct,244,0.185612,0.837786,0.43307,0.385718,0.48512
gemini-3.1-flash-lite,inference,incorrect,63,0.044407,0.838911,0.238192,0.225513,0.314144
gemini-3.1-flash-lite,inference,all,307,0.156635,0.838017,0.393079,0.352842,0.450034
gemini-3.5-flash,inference,correct,203,0.15846,0.779815,0.412032,0.355552,0.465604
gemini-3.5-flash,inference,incorrect,50,0.021866,0.525275,0.166744,0.147955,0.224321
gemini-3.5-flash,inference,all,253,0.131465,0.729511,0.363556,0.314525,0.41792
gpt-5.4,inference,correct,268,0.182815,0.820976,0.392685,0.358202,0.440927
gpt-5.4,inference,incorrect,42,0.057228,0.775861,0.230902,0.225613,0.297167
gpt-5.4,inference,all,310,0.1658,0.814863,0.370766,0.340239,0.42145
gpt-5.4-mini-2026-03-17,inference,correct,193,0.158082,0.799308,0.343277,0.318686,0.388612
gpt-5.4-mini-2026-03-17,inference,incorrect,46,0.02663,0.731468,0.182674,0.17614,0.248254
gpt-5.4-mini-2026-03-17,inference,all,239,0.132781,0.786251,0.312366,0.29125,0.361597
llama-3.3-70b-instruct,inference,correct,84,0.14644,0.768429,0.322858,0.294699,0.370332
llama-3.3-70b-instruct,inference,incorrect,14,0.0,0.529321,0.098917,0.093227,0.123934
llama-3.3-70b-instruct,inference,all,98,0.12552,0.734271,0.290867,0.265917,0.335132
qwen3-235b-a22b-2507,inference,correct,312,0.074443,0.679177,0.272017,0.230786,0.309575
qwen3-235b-a22b-2507,inference,incorrect,18,0.050926,0.637731,0.167714,0.164327,0.20553
qwen3-235b-a22b-2507,inference,all,330,0.07316,0.676916,0.266328,0.227161,0.303899
