question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Sleep_Disturbance', 'Psychomotor_Changes', 'Worthlessness_Guilt', 'Death_Suicide'], 'duration': '1 year and 2 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Depressive Type)', 'Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Weight_Appetite_Change', 'Sleep_Disturbance', 'Fatigue', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '1 year'}, 'delusions_and_hallucinations': {'symptoms': ['Hallucinations']}}","['Schizoaffective Disorder (Bipolar Type)', 'Major Depressive Disorder with Psychotic Features', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Weight_Appetite_Change', 'Psychomotor_Changes', 'Diminished_Thinking'], 'duration': '7 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Bipolar I Disorder with Psychotic Features', 'Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Weight_Appetite_Change', 'Sleep_Disturbance', 'Fatigue', 'Worthlessness_Guilt', 'Diminished_Thinking'], 'duration': '2 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions']}}","['Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Major Depressive Disorder with Psychotic Features', 'Bipolar I Disorder with Psychotic Features']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Weight_Appetite_Change', 'Psychomotor_Changes', 'Fatigue'], 'duration': '7 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Weight_Appetite_Change', 'Sleep_Disturbance', 'Psychomotor_Changes', 'Worthlessness_Guilt', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '2 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Bipolar I Disorder with Psychotic Features', 'Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Sleep_Disturbance', 'Psychomotor_Changes', 'Fatigue', 'Worthlessness_Guilt', 'Diminished_Thinking'], 'duration': '3 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Psychomotor_Changes', 'Worthlessness_Guilt', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '1 year and 1 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Major Depressive Disorder with Psychotic Features']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Psychomotor_Changes', 'Fatigue', 'Worthlessness_Guilt', 'Death_Suicide'], 'duration': '4 months'}, 'delusions_and_hallucinations': {'symptoms': ['Hallucinations']}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Major Depressive Disorder with Psychotic Features']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D015,Major Depressive Disorder with Psychotic Features,D015,Major Depressive Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the major depressive episode'],"{'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Weight_Appetite_Change', 'Psychomotor_Changes', 'Worthlessness_Guilt', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '2 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Bipolar Type)', 'Major Depressive Disorder with Psychotic Features', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']"
