question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",2 months,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Delusional Disorder', 'Major Depressive Disorder', 'Adjustment Disorder', 'Bipolar I Disorder']","['Less likely option', 'Less likely option', 'answer', 'Less likely option']",
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",5 months,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Posttraumatic Stress Disorder', 'Adjustment Disorder', 'Bipolar II Disorder', 'Schizoaffective Disorder (Bipolar Type)']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']",True
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",1 weeks,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Major Depressive Disorder', 'Bipolar I Disorder with Psychotic Features', 'Adjustment Disorder', 'Acute Stress Disorder']","['Less likely option', 'Less likely option', 'answer', 'Less likely option']",
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",3 months,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Adjustment Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Schizoaffective Disorder (Depressive Type)']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']",True
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",2 weeks,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Adjustment Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Posttraumatic Stress Disorder', 'Major Depressive Disorder']","['answer', 'Less likely option', 'Less likely option', 'Less likely option']",
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",3 days,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Schizoaffective Disorder (Depressive Type)', 'Anorexia Nervosa', 'Major Depressive Disorder', 'Adjustment Disorder']","['Less likely option', 'Less likely option', 'Less likely option', 'answer']",
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",1 weeks,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Major Depressive Disorder', 'Adjustment Disorder', 'Bulimia Nervosa', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']",
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",1 month,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Acute Stress Disorder', 'Adjustment Disorder', 'Schizophrenia', 'Obsessive-Compulsive Disorder']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']",
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",0 days,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Specific Phobia', 'Delusional Disorder', 'Adjustment Disorder', 'Persistent Depressive Disorder']","['Less likely option', 'Less likely option', 'answer', 'Less likely option']",
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",1 month,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Bipolar II Disorder', 'Anorexia Nervosa', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Adjustment Disorder']","['Less likely option', 'Less likely option', 'Less likely option', 'answer']",
