question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D008,Bipolar I Disorder,D008,Bipolar I Disorder,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem', 'Decreased_Sleep', 'Pressured_Speech', 'Racing_Thoughts', 'Manic_Distractibility', 'Increased_Goal_Activity'], 'duration': '2 weeks'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Sleep_Disturbance', 'Psychomotor_Changes', 'Fatigue', 'Worthlessness_Guilt', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '1 month'}}","['Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D008,Bipolar I Disorder,D008,Bipolar I Disorder,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem', 'Pressured_Speech', 'Racing_Thoughts', 'Increased_Goal_Activity'], 'duration': '5 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Sleep_Disturbance', 'Psychomotor_Changes', 'Worthlessness_Guilt', 'Death_Suicide'], 'duration': '9 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D008,Bipolar I Disorder,D008,Bipolar I Disorder,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem', 'Decreased_Sleep', 'Manic_Distractibility'], 'duration': '7 months'}}","['Bipolar I Disorder', 'Bipolar II Disorder', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)']","['answer', 'Moderately likely option', 'Highly likely option', 'Highly likely option']"
D008,Bipolar I Disorder,D008,Bipolar I Disorder,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem', 'Pressured_Speech', 'Racing_Thoughts', 'Increased_Goal_Activity'], 'duration': '4 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Weight_Appetite_Change', 'Psychomotor_Changes', 'Fatigue', 'Diminished_Thinking'], 'duration': '5 months'}}","['Bipolar I Disorder with Psychotic Features', 'Bipolar I Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D008,Bipolar I Disorder,D008,Bipolar I Disorder,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Decreased_Sleep', 'Pressured_Speech', 'Racing_Thoughts', 'Manic_Distractibility', 'Increased_Goal_Activity'], 'duration': '4 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Weight_Appetite_Change', 'Psychomotor_Changes', 'Worthlessness_Guilt', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '1 year'}}","['Bipolar I Disorder with Psychotic Features', 'Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D008,Bipolar I Disorder,D008,Bipolar I Disorder,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem', 'Decreased_Sleep', 'Pressured_Speech', 'Manic_Distractibility', 'Increased_Goal_Activity', 'Painful_Consequence_Behavior'], 'duration': '2 years and 1 months'}}","['Bipolar I Disorder with Psychotic Features', 'Bipolar II Disorder', 'Bipolar I Disorder', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'Moderately likely option', 'answer', 'Highly likely option']"
D008,Bipolar I Disorder,D008,Bipolar I Disorder,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem', 'Decreased_Sleep', 'Pressured_Speech', 'Manic_Distractibility'], 'duration': '6 months'}}","['Bipolar II Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features', 'Bipolar I Disorder']","['Moderately likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D008,Bipolar I Disorder,D008,Bipolar I Disorder,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem', 'Decreased_Sleep', 'Pressured_Speech', 'Manic_Distractibility', 'Increased_Goal_Activity', 'Painful_Consequence_Behavior'], 'duration': '1 year and 11 months'}}","['Bipolar I Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features', 'Bipolar II Disorder']","['answer', 'Highly likely option', 'Highly likely option', 'Moderately likely option']"
D008,Bipolar I Disorder,D008,Bipolar I Disorder,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem', 'Decreased_Sleep', 'Pressured_Speech', 'Racing_Thoughts', 'Increased_Goal_Activity', 'Painful_Consequence_Behavior'], 'duration': '1 year and 4 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Bipolar II Disorder', 'Bipolar I Disorder with Psychotic Features', 'Bipolar I Disorder']","['Highly likely option', 'Moderately likely option', 'Highly likely option', 'answer']"
D008,Bipolar I Disorder,D008,Bipolar I Disorder,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Pressured_Speech', 'Manic_Distractibility', 'Increased_Goal_Activity'], 'duration': '1 year and 3 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Bipolar II Disorder', 'Bipolar I Disorder with Psychotic Features', 'Bipolar I Disorder']","['Highly likely option', 'Moderately likely option', 'Highly likely option', 'answer']"
