question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required
D018,Posttraumatic Stress Disorder,D018,Posttraumatic Stress Disorder,9 months,"{'trauma_related_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}, 'trauma_related_alterations': {'symptoms': ['Loss_of_Interest', 'Distorted_Cognitions_With_Blame', 'Persistent_Negative_Emotional_State']}, 'arousal_and_reactivity': {'symptoms': ['Diminished_Thinking', 'Exaggerated_Startle_Response']}}","['Bipolar I Disorder', 'Major Depressive Disorder with Psychotic Features', 'Posttraumatic Stress Disorder', 'Acute Stress Disorder']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']",
D018,Posttraumatic Stress Disorder,D018,Posttraumatic Stress Disorder,1 year and 1 months,"{'trauma_related_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}, 'trauma_related_alterations': {'symptoms': ['Loss_of_Interest', 'Inability_Positive_Emotions']}, 'arousal_and_reactivity': {'symptoms': ['Irritability_Aggression', 'Exaggerated_Startle_Response']}}","['Bipolar I Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Acute Stress Disorder', 'Posttraumatic Stress Disorder']","['Moderately likely option', 'Moderately likely option', 'Moderately likely option', 'answer']",True
D018,Posttraumatic Stress Disorder,D018,Posttraumatic Stress Disorder,2 years and 1 months,"{'trauma_related_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}, 'trauma_related_alterations': {'symptoms': ['Negative_Beliefs', 'Distorted_Cognitions_With_Blame', 'Social_Detachment']}, 'arousal_and_reactivity': {'symptoms': ['Sleep_Disturbance', 'Diminished_Thinking']}}","['Acute Stress Disorder', 'Posttraumatic Stress Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features']","['Moderately likely option', 'answer', 'Moderately likely option', 'Moderately likely option']",True
D018,Posttraumatic Stress Disorder,D018,Posttraumatic Stress Disorder,1 year and 1 months,"{'trauma_related_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}, 'trauma_related_alterations': {'symptoms': ['Distorted_Cognitions_With_Blame', 'Inability_Positive_Emotions']}, 'arousal_and_reactivity': {'symptoms': ['Diminished_Thinking', 'Reckless_Self_Destructive_Behavior', 'Hypervigilance']}}","['Posttraumatic Stress Disorder', 'Acute Stress Disorder', 'Persistent Depressive Disorder', 'Major Depressive Disorder with Psychotic Features']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']",
D018,Posttraumatic Stress Disorder,D018,Posttraumatic Stress Disorder,11 months,"{'trauma_related_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}, 'trauma_related_alterations': {'symptoms': ['Persistent_Negative_Emotional_State', 'Inability_Positive_Emotions']}, 'arousal_and_reactivity': {'symptoms': ['Irritability_Aggression', 'Reckless_Self_Destructive_Behavior', 'Exaggerated_Startle_Response']}}","['Binge-Eating Disorder', 'Posttraumatic Stress Disorder', 'Bulimia Nervosa', 'Acute Stress Disorder']","['Less likely option', 'answer', 'Less likely option', 'Moderately likely option']",True
D018,Posttraumatic Stress Disorder,D018,Posttraumatic Stress Disorder,1 year and 8 months,"{'trauma_related_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}, 'trauma_related_alterations': {'symptoms': ['Persistent_Negative_Emotional_State', 'Social_Detachment']}, 'arousal_and_reactivity': {'symptoms': ['Sleep_Disturbance', 'Irritability_Aggression', 'Exaggerated_Startle_Response']}}","['Major Depressive Disorder', 'Posttraumatic Stress Disorder', 'Generalized Anxiety Disorder', 'Acute Stress Disorder']","['Moderately likely option', 'answer', 'Moderately likely option', 'Moderately likely option']",
D018,Posttraumatic Stress Disorder,D018,Posttraumatic Stress Disorder,1 year and 2 months,"{'trauma_related_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}, 'trauma_related_alterations': {'symptoms': ['Distorted_Cognitions_With_Blame', 'Inability_Positive_Emotions']}, 'arousal_and_reactivity': {'symptoms': ['Reckless_Self_Destructive_Behavior', 'Exaggerated_Startle_Response']}}","['Binge-Eating Disorder', 'Posttraumatic Stress Disorder', 'Bipolar I Disorder', 'Acute Stress Disorder']","['Less likely option', 'answer', 'Less likely option', 'Moderately likely option']",True
D018,Posttraumatic Stress Disorder,D018,Posttraumatic Stress Disorder,1 year and 9 months,"{'trauma_related_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}, 'trauma_related_alterations': {'symptoms': ['Negative_Beliefs', 'Social_Detachment']}, 'arousal_and_reactivity': {'symptoms': ['Sleep_Disturbance', 'Irritability_Aggression', 'Exaggerated_Startle_Response']}}","['Posttraumatic Stress Disorder', 'Persistent Depressive Disorder', 'Major Depressive Disorder with Psychotic Features', 'Acute Stress Disorder']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']",True
D018,Posttraumatic Stress Disorder,D018,Posttraumatic Stress Disorder,2 years and 2 months,"{'trauma_related_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}, 'trauma_related_alterations': {'symptoms': ['Negative_Beliefs', 'Distorted_Cognitions_With_Blame', 'Persistent_Negative_Emotional_State']}, 'arousal_and_reactivity': {'symptoms': ['Irritability_Aggression', 'Reckless_Self_Destructive_Behavior']}}","['Bulimia Nervosa', 'Posttraumatic Stress Disorder', 'Major Depressive Disorder with Psychotic Features', 'Acute Stress Disorder']","['Less likely option', 'answer', 'Less likely option', 'Moderately likely option']",
D018,Posttraumatic Stress Disorder,D018,Posttraumatic Stress Disorder,2 years and 0 months,"{'trauma_related_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}, 'trauma_related_alterations': {'symptoms': ['Trauma_Related_Amnesia', 'Distorted_Cognitions_With_Blame']}, 'arousal_and_reactivity': {'symptoms': ['Sleep_Disturbance', 'Diminished_Thinking', 'Hypervigilance']}}","['Bipolar I Disorder with Psychotic Features', 'Posttraumatic Stress Disorder', 'Major Depressive Disorder', 'Acute Stress Disorder']","['Moderately likely option', 'answer', 'Moderately likely option', 'Moderately likely option']",
D018,Posttraumatic Stress Disorder,D018,Posttraumatic Stress Disorder,10 months,"{'trauma_related_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}, 'trauma_related_alterations': {'symptoms': ['Trauma_Related_Amnesia', 'Negative_Beliefs', 'Social_Detachment']}, 'arousal_and_reactivity': {'symptoms': ['Irritability_Aggression', 'Hypervigilance']}}","['Acute Stress Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Binge-Eating Disorder', 'Posttraumatic Stress Disorder']","['Moderately likely option', 'Less likely option', 'Less likely option', 'answer']",
D018,Posttraumatic Stress Disorder,D018,Posttraumatic Stress Disorder,1 year and 11 months,"{'trauma_related_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}, 'trauma_related_alterations': {'symptoms': ['Trauma_Related_Amnesia', 'Social_Detachment']}, 'arousal_and_reactivity': {'symptoms': ['Sleep_Disturbance', 'Diminished_Thinking', 'Reckless_Self_Destructive_Behavior']}}","['Acute Stress Disorder', 'Posttraumatic Stress Disorder', 'Major Depressive Disorder with Psychotic Features', 'Bipolar I Disorder with Psychotic Features']","['Moderately likely option', 'answer', 'Moderately likely option', 'Moderately likely option']",
D018,Posttraumatic Stress Disorder,D018,Posttraumatic Stress Disorder,2 years and 3 months,"{'trauma_related_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}, 'trauma_related_alterations': {'symptoms': ['Loss_of_Interest', 'Negative_Beliefs', 'Persistent_Negative_Emotional_State']}, 'arousal_and_reactivity': {'symptoms': ['Diminished_Thinking', 'Irritability_Aggression', 'Hypervigilance']}}","['Posttraumatic Stress Disorder', 'Acute Stress Disorder', 'Bipolar I Disorder', 'Bipolar I Disorder with Psychotic Features']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']",
D018,Posttraumatic Stress Disorder,D018,Posttraumatic Stress Disorder,1 year and 2 months,"{'trauma_related_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}, 'trauma_related_alterations': {'symptoms': ['Negative_Beliefs', 'Inability_Positive_Emotions']}, 'arousal_and_reactivity': {'symptoms': ['Diminished_Thinking', 'Exaggerated_Startle_Response']}}","['Posttraumatic Stress Disorder', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Acute Stress Disorder']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']",
