question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),['Onset prior to age 12 years'],True,1 year and 2 months,"{'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Sustained_Attention_Difficulty', 'Instruction_Follow through_Difficulty', 'Distractibility', 'Daily_Activities_Forgetfulness']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Body Dysmorphic Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)']","['Highly likely option', 'Less likely option', 'answer', 'Highly likely option']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),['Onset prior to age 12 years'],True,10 months,"{'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Sustained_Attention_Difficulty', 'Listening_Difficulty', 'Sustained_Mental_Effort_Avoidance', 'Losing_Items', 'Distractibility']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Anorexia Nervosa', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['Highly likely option', 'Highly likely option', 'Less likely option', 'answer']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),['Onset prior to age 12 years'],True,1 year,"{'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Listening_Difficulty', 'Instruction_Follow through_Difficulty', 'Losing_Items', 'Distractibility', 'Daily_Activities_Forgetfulness']}, 'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Quiet_Activity_Difficulty', 'Blurting_Answers', 'Waiting_Turn_Difficulty', 'Interrupting_Intruding']}}","['Major Depressive Disorder with Psychotic Features', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['Less likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),['Onset prior to age 12 years'],True,1 year and 11 months,"{'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Sustained_Attention_Difficulty', 'Instruction_Follow through_Difficulty', 'Organization_Difficulty', 'Sustained_Mental_Effort_Avoidance', 'Losing_Items']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Persistent Depressive Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['Highly likely option', 'Highly likely option', 'Less likely option', 'answer']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),['Onset prior to age 12 years'],True,1 year and 11 months,"{'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Organization_Difficulty', 'Sustained_Mental_Effort_Avoidance', 'Distractibility', 'Daily_Activities_Forgetfulness']}, 'hyperactivity_impulsivity': {'symptoms': ['Leaving_Seat']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Adjustment Disorder']","['answer', 'Highly likely option', 'Highly likely option', 'Less likely option']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),['Onset prior to age 12 years'],True,2 years and 4 months,"{'inattention': {'symptoms': ['Sustained_Attention_Difficulty', 'Listening_Difficulty', 'Instruction_Follow through_Difficulty', 'Sustained_Mental_Effort_Avoidance', 'Losing_Items']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Bipolar I Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['answer', 'Highly likely option', 'Less likely option', 'Highly likely option']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),['Onset prior to age 12 years'],True,11 months,"{'inattention': {'symptoms': ['Sustained_Attention_Difficulty', 'Listening_Difficulty', 'Instruction_Follow through_Difficulty', 'Organization_Difficulty', 'Losing_Items']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Acute Stress Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['Highly likely option', 'answer', 'Less likely option', 'Highly likely option']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),['Onset prior to age 12 years'],True,1 year and 3 months,"{'inattention': {'symptoms': ['Organization_Difficulty', 'Sustained_Mental_Effort_Avoidance', 'Losing_Items', 'Distractibility', 'Daily_Activities_Forgetfulness']}, 'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Leaving_Seat']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Persistent Depressive Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['Highly likely option', 'Less likely option', 'answer', 'Highly likely option']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),['Onset prior to age 12 years'],True,11 months,"{'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Instruction_Follow through_Difficulty', 'Organization_Difficulty', 'Sustained_Mental_Effort_Avoidance', 'Losing_Items', 'Distractibility']}, 'hyperactivity_impulsivity': {'symptoms': ['Leaving_Seat', 'Quiet_Activity_Difficulty', 'Constant_Activity', 'Blurting_Answers', 'Waiting_Turn_Difficulty']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Anorexia Nervosa']","['answer', 'Highly likely option', 'Highly likely option', 'Less likely option']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),['Onset prior to age 12 years'],True,1 year and 1 months,"{'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Listening_Difficulty', 'Instruction_Follow through_Difficulty', 'Organization_Difficulty', 'Losing_Items', 'Distractibility']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Bipolar II Disorder']","['answer', 'Highly likely option', 'Highly likely option', 'Less likely option']"
