question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain']}}","['Adjustment Disorder', 'Anorexia Nervosa', 'Bulimia Nervosa', 'Specific Phobia']","['Less likely option', 'answer', 'Moderately likely option', 'Less likely option']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain', 'Low_Weight_Severity_Non_Recognition']}}","['Anorexia Nervosa', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Bulimia Nervosa', 'Major Depressive Disorder with Psychotic Features']","['answer', 'Less likely option', 'Moderately likely option', 'Less likely option']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance', 'Low_Weight_Severity_Non_Recognition']}}","['Bulimia Nervosa', 'Adjustment Disorder', 'Major Depressive Disorder with Psychotic Features', 'Anorexia Nervosa']","['Moderately likely option', 'Less likely option', 'Less likely option', 'answer']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain']}}","['Major Depressive Disorder with Psychotic Features', 'Persistent Depressive Disorder', 'Bulimia Nervosa', 'Anorexia Nervosa']","['Less likely option', 'Less likely option', 'Moderately likely option', 'answer']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain', 'Low_Weight_Severity_Non_Recognition']}}","['Bulimia Nervosa', 'Major Depressive Disorder with Psychotic Features', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Anorexia Nervosa']","['Moderately likely option', 'Less likely option', 'Less likely option', 'answer']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain', 'Low_Weight_Severity_Non_Recognition']}}","['Major Depressive Disorder with Psychotic Features', 'Anorexia Nervosa', 'Bipolar I Disorder with Psychotic Features', 'Bulimia Nervosa']","['Less likely option', 'answer', 'Less likely option', 'Moderately likely option']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain', 'Low_Weight_Severity_Non_Recognition']}}","['Posttraumatic Stress Disorder', 'Bulimia Nervosa', 'Anorexia Nervosa', 'Generalized Anxiety Disorder']","['Less likely option', 'Moderately likely option', 'answer', 'Less likely option']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Bulimia Nervosa', 'Anorexia Nervosa', 'Persistent Depressive Disorder']","['Less likely option', 'Moderately likely option', 'answer', 'Less likely option']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain']}}","['Generalized Anxiety Disorder', 'Bulimia Nervosa', 'Bipolar II Disorder', 'Anorexia Nervosa']","['Less likely option', 'Moderately likely option', 'Less likely option', 'answer']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance', 'Low_Weight_Severity_Non_Recognition']}}","['Anorexia Nervosa', 'Acute Stress Disorder', 'Bulimia Nervosa', 'Body Dysmorphic Disorder']","['answer', 'Less likely option', 'Moderately likely option', 'Less likely option']"
