question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required,question-sampled_features-sampled_diagnostic_criteria-traumatic_stressor_required,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D018,Posttraumatic Stress Disorder,D018,Posttraumatic Stress Disorder,True,traumatic_event,4 months,"{'trauma_related_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}, 'trauma_related_alterations': {'symptoms': ['Negative_Beliefs', 'Persistent_Negative_Emotional_State']}, 'arousal_and_reactivity': {'symptoms': ['Sleep_Disturbance', 'Irritability_Aggression', 'Reckless_Self_Destructive_Behavior']}}","['Posttraumatic Stress Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Acute Stress Disorder']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']"
D018,Posttraumatic Stress Disorder,D018,Posttraumatic Stress Disorder,True,traumatic_event,2 years and 4 months,"{'trauma_related_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}, 'trauma_related_alterations': {'symptoms': ['Trauma_Related_Amnesia', 'Negative_Beliefs', 'Distorted_Cognitions_With_Blame', 'Persistent_Negative_Emotional_State', 'Social_Detachment']}, 'arousal_and_reactivity': {'symptoms': ['Sleep_Disturbance', 'Irritability_Aggression', 'Reckless_Self_Destructive_Behavior', 'Hypervigilance']}}","['Schizoaffective Disorder (Bipolar Type)', 'Posttraumatic Stress Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Acute Stress Disorder']","['Moderately likely option', 'answer', 'Moderately likely option', 'Moderately likely option']"
D018,Posttraumatic Stress Disorder,D018,Posttraumatic Stress Disorder,True,traumatic_event,1 year and 1 months,"{'trauma_related_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}, 'trauma_related_alterations': {'symptoms': ['Loss_of_Interest', 'Trauma_Related_Amnesia', 'Distorted_Cognitions_With_Blame', 'Persistent_Negative_Emotional_State', 'Inability_Positive_Emotions']}, 'arousal_and_reactivity': {'symptoms': ['Sleep_Disturbance', 'Irritability_Aggression', 'Reckless_Self_Destructive_Behavior', 'Exaggerated_Startle_Response']}}","['Schizoaffective Disorder (Bipolar Type)', 'Posttraumatic Stress Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Acute Stress Disorder']","['Moderately likely option', 'answer', 'Moderately likely option', 'Moderately likely option']"
D018,Posttraumatic Stress Disorder,D018,Posttraumatic Stress Disorder,True,traumatic_event,1 year and 5 months,"{'trauma_related_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}, 'trauma_related_alterations': {'symptoms': ['Loss_of_Interest', 'Negative_Beliefs', 'Distorted_Cognitions_With_Blame', 'Inability_Positive_Emotions']}, 'arousal_and_reactivity': {'symptoms': ['Sleep_Disturbance', 'Diminished_Thinking', 'Hypervigilance', 'Exaggerated_Startle_Response']}}","['Posttraumatic Stress Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Acute Stress Disorder']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']"
D018,Posttraumatic Stress Disorder,D018,Posttraumatic Stress Disorder,True,traumatic_event,2 years and 3 months,"{'trauma_related_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}, 'trauma_related_alterations': {'symptoms': ['Trauma_Related_Amnesia', 'Negative_Beliefs', 'Distorted_Cognitions_With_Blame', 'Persistent_Negative_Emotional_State', 'Social_Detachment', 'Inability_Positive_Emotions']}, 'arousal_and_reactivity': {'symptoms': ['Diminished_Thinking', 'Irritability_Aggression', 'Reckless_Self_Destructive_Behavior', 'Hypervigilance']}}","['Acute Stress Disorder', 'Posttraumatic Stress Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)']","['Moderately likely option', 'answer', 'Moderately likely option', 'Moderately likely option']"
D018,Posttraumatic Stress Disorder,D018,Posttraumatic Stress Disorder,True,traumatic_event,2 years and 3 months,"{'trauma_related_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}, 'trauma_related_alterations': {'symptoms': ['Loss_of_Interest', 'Negative_Beliefs', 'Distorted_Cognitions_With_Blame', 'Persistent_Negative_Emotional_State', 'Social_Detachment']}, 'arousal_and_reactivity': {'symptoms': ['Sleep_Disturbance', 'Diminished_Thinking', 'Irritability_Aggression', 'Reckless_Self_Destructive_Behavior', 'Hypervigilance', 'Exaggerated_Startle_Response']}}","['Acute Stress Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Posttraumatic Stress Disorder']","['Moderately likely option', 'Moderately likely option', 'Moderately likely option', 'answer']"
D018,Posttraumatic Stress Disorder,D018,Posttraumatic Stress Disorder,True,traumatic_event,1 year and 5 months,"{'trauma_related_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}, 'trauma_related_alterations': {'symptoms': ['Trauma_Related_Amnesia', 'Negative_Beliefs', 'Persistent_Negative_Emotional_State', 'Inability_Positive_Emotions']}, 'arousal_and_reactivity': {'symptoms': ['Sleep_Disturbance', 'Diminished_Thinking', 'Irritability_Aggression', 'Reckless_Self_Destructive_Behavior', 'Hypervigilance', 'Exaggerated_Startle_Response']}}","['Posttraumatic Stress Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Acute Stress Disorder']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']"
D018,Posttraumatic Stress Disorder,D018,Posttraumatic Stress Disorder,True,traumatic_event,1 year and 7 months,"{'trauma_related_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}, 'trauma_related_alterations': {'symptoms': ['Trauma_Related_Amnesia', 'Negative_Beliefs', 'Social_Detachment', 'Inability_Positive_Emotions']}, 'arousal_and_reactivity': {'symptoms': ['Sleep_Disturbance', 'Diminished_Thinking', 'Irritability_Aggression', 'Hypervigilance', 'Exaggerated_Startle_Response']}}","['Acute Stress Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Posttraumatic Stress Disorder', 'Schizoaffective Disorder (Bipolar Type)']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']"
D018,Posttraumatic Stress Disorder,D018,Posttraumatic Stress Disorder,True,traumatic_event,1 year and 11 months,"{'trauma_related_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}, 'trauma_related_alterations': {'symptoms': ['Loss_of_Interest', 'Distorted_Cognitions_With_Blame', 'Persistent_Negative_Emotional_State', 'Inability_Positive_Emotions']}, 'arousal_and_reactivity': {'symptoms': ['Irritability_Aggression', 'Exaggerated_Startle_Response']}}","['Posttraumatic Stress Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Acute Stress Disorder', 'Schizoaffective Disorder (Depressive Type)']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']"
D018,Posttraumatic Stress Disorder,D018,Posttraumatic Stress Disorder,True,traumatic_event,1 year and 1 months,"{'trauma_related_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}, 'trauma_related_alterations': {'symptoms': ['Loss_of_Interest', 'Trauma_Related_Amnesia', 'Negative_Beliefs', 'Persistent_Negative_Emotional_State', 'Inability_Positive_Emotions']}, 'arousal_and_reactivity': {'symptoms': ['Sleep_Disturbance', 'Diminished_Thinking', 'Irritability_Aggression', 'Exaggerated_Startle_Response']}}","['Schizoaffective Disorder (Depressive Type)', 'Posttraumatic Stress Disorder', 'Acute Stress Disorder', 'Schizoaffective Disorder (Bipolar Type)']","['Moderately likely option', 'answer', 'Moderately likely option', 'Moderately likely option']"
