question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D022,Bulimia Nervosa,D022,Bulimia Nervosa,"['The binge eating and inappropriate compensatory behaviors both occur, on average, at least once a week for 3 months']",1 year and 10 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'compensatory_behavior': {'symptoms': ['Compensatory_Behavior_NonPurging', 'Compensatory_Behavior_Purging']}, 'body_image_cognition': {'symptoms': ['Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance']}}","['Anorexia Nervosa', 'Bulimia Nervosa', 'Binge-Eating Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['Moderately likely option', 'answer', 'Highly likely option', 'Less likely option']"
D022,Bulimia Nervosa,D022,Bulimia Nervosa,"['The binge eating and inappropriate compensatory behaviors both occur, on average, at least once a week for 3 months']",2 years and 2 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'compensatory_behavior': {'symptoms': ['Compensatory_Behavior_NonPurging', 'Compensatory_Behavior_Purging']}, 'body_image_cognition': {'symptoms': ['Body_Image_Weight_Shape_Disturbance']}}","['Bulimia Nervosa', 'Obsessive-Compulsive Disorder', 'Binge-Eating Disorder', 'Anorexia Nervosa']","['answer', 'Less likely option', 'Highly likely option', 'Moderately likely option']"
D022,Bulimia Nervosa,D022,Bulimia Nervosa,"['The binge eating and inappropriate compensatory behaviors both occur, on average, at least once a week for 3 months']",2 years and 5 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'compensatory_behavior': {'symptoms': ['Compensatory_Behavior_Purging']}, 'body_image_cognition': {'symptoms': ['Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance']}}","['Binge-Eating Disorder', 'Anorexia Nervosa', 'Bulimia Nervosa', 'Obsessive-Compulsive Disorder']","['Highly likely option', 'Moderately likely option', 'answer', 'Less likely option']"
D022,Bulimia Nervosa,D022,Bulimia Nervosa,"['The binge eating and inappropriate compensatory behaviors both occur, on average, at least once a week for 3 months']",7 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'compensatory_behavior': {'symptoms': ['Compensatory_Behavior_NonPurging', 'Compensatory_Behavior_Purging']}, 'body_image_cognition': {'symptoms': ['Body_Image_Weight_Shape_Disturbance']}}","['Binge-Eating Disorder', 'Anorexia Nervosa', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Bulimia Nervosa']","['Highly likely option', 'Moderately likely option', 'Less likely option', 'answer']"
D022,Bulimia Nervosa,D022,Bulimia Nervosa,"['The binge eating and inappropriate compensatory behaviors both occur, on average, at least once a week for 3 months']",2 years and 5 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'compensatory_behavior': {'symptoms': ['Compensatory_Behavior_NonPurging', 'Compensatory_Behavior_Purging']}, 'body_image_cognition': {'symptoms': ['Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance']}}","['Bulimia Nervosa', 'Anorexia Nervosa', 'Generalized Anxiety Disorder', 'Binge-Eating Disorder']","['answer', 'Moderately likely option', 'Less likely option', 'Highly likely option']"
D022,Bulimia Nervosa,D022,Bulimia Nervosa,"['The binge eating and inappropriate compensatory behaviors both occur, on average, at least once a week for 3 months']",2 years and 1 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'compensatory_behavior': {'symptoms': ['Compensatory_Behavior_Purging']}, 'body_image_cognition': {'symptoms': ['Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance']}}","['Anorexia Nervosa', 'Binge-Eating Disorder', 'Bipolar I Disorder', 'Bulimia Nervosa']","['Moderately likely option', 'Highly likely option', 'Less likely option', 'answer']"
D022,Bulimia Nervosa,D022,Bulimia Nervosa,"['The binge eating and inappropriate compensatory behaviors both occur, on average, at least once a week for 3 months']",1 year and 2 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'compensatory_behavior': {'symptoms': ['Compensatory_Behavior_Purging']}, 'body_image_cognition': {'symptoms': ['Body_Image_Weight_Shape_Disturbance']}}","['Bulimia Nervosa', 'Obsessive-Compulsive Disorder', 'Binge-Eating Disorder', 'Anorexia Nervosa']","['answer', 'Less likely option', 'Highly likely option', 'Moderately likely option']"
D022,Bulimia Nervosa,D022,Bulimia Nervosa,"['The binge eating and inappropriate compensatory behaviors both occur, on average, at least once a week for 3 months']",1 year and 11 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'compensatory_behavior': {'symptoms': ['Compensatory_Behavior_NonPurging', 'Compensatory_Behavior_Purging']}, 'body_image_cognition': {'symptoms': ['Body_Image_Weight_Shape_Disturbance']}}","['Binge-Eating Disorder', 'Anorexia Nervosa', 'Bulimia Nervosa', 'Body Dysmorphic Disorder']","['Highly likely option', 'Moderately likely option', 'answer', 'Less likely option']"
D022,Bulimia Nervosa,D022,Bulimia Nervosa,"['The binge eating and inappropriate compensatory behaviors both occur, on average, at least once a week for 3 months']",2 years and 4 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'compensatory_behavior': {'symptoms': ['Compensatory_Behavior_Purging']}, 'body_image_cognition': {'symptoms': ['Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance']}}","['Bulimia Nervosa', 'Binge-Eating Disorder', 'Anorexia Nervosa', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['answer', 'Highly likely option', 'Moderately likely option', 'Less likely option']"
D022,Bulimia Nervosa,D022,Bulimia Nervosa,"['The binge eating and inappropriate compensatory behaviors both occur, on average, at least once a week for 3 months']",11 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'compensatory_behavior': {'symptoms': ['Compensatory_Behavior_Purging']}, 'body_image_cognition': {'symptoms': ['Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance']}}","['Schizophrenia', 'Anorexia Nervosa', 'Binge-Eating Disorder', 'Bulimia Nervosa']","['Less likely option', 'Moderately likely option', 'Highly likely option', 'answer']"
